date,county,type,num,id
4/14/20,"Fresno County, California",positive,251,128
4/14/20,"Glenn County, California",positive,4,129
4/14/20,"Humboldt County, California",positive,51,130
4/14/20,"Imperial County, California",positive,117,131
4/14/20,"Inyo County, California",positive,12,132
4/14/20,"Kern County, California",positive,516,133
4/14/20,"Kings County, California",positive,13,134
4/14/20,"Lake County, California",positive,5,135
4/14/20,"Lassen County, California",positive,0,136
4/14/20,"Los Angeles County, California",positive,10047,137
4/14/20,"Madera County, California",positive,33,138
4/14/20,"Marin County, California",positive,171,139
4/14/20,"Mariposa County, California",positive,0,140
4/14/20,"Mendocino County, California",positive,4,141
4/14/20,"Merced County, California",positive,74,142
4/14/20,"Modoc County, California",positive,0,143
4/14/20,"Mono County, California",positive,23,144
4/14/20,"Monterey County, California",positive,100,145
4/14/20,"Napa County, California",positive,34,146
4/14/20,"Nevada County, California",positive,34,147
4/14/20,"Orange County, California",positive,1283,148
4/14/20,"Placer County, California",positive,128,149
4/14/20,"Plumas County, California",positive,0,150
4/14/20,"Riverside County, California",positive,1961,151
4/14/20,"Sacramento County, California",positive,739,152
4/14/20,"San Benito County, California",positive,39,153
4/14/20,"San Bernardino County, California",positive,977,154
4/14/20,"San Diego County, California",positive,1847,155
4/14/20,"San Francisco County, California",positive,987,156
4/14/20,"San Joaquin County, California",positive,309,157
4/14/20,"San Luis Obispo County, California",positive,120,158
4/14/20,"San Mateo County, California",positive,721,159
4/14/20,"Santa Barbara County, California",positive,284,160
4/14/20,"Santa Clara County, California",positive,1666,161
4/14/20,"Santa Cruz County, California",positive,91,162
4/14/20,"Shasta County, California",positive,25,163
4/14/20,"Sierra County, California",positive,0,164
4/14/20,"Siskiyou County, California",positive,5,165
4/14/20,"Solano County, California",positive,140,166
4/14/20,"Sonoma County, California",positive,152,167
4/14/20,"Stanislaus County, California",positive,146,168
4/14/20,"Sutter County, California",positive,24,169
4/14/20,"Tehama County, California",positive,1,170
4/14/20,"Trinity County, California",positive,0,171
4/14/20,"Tulare County, California",positive,264,172
4/14/20,"Tuolumne County, California",positive,1,173
4/14/20,"Ventura County, California",positive,350,174
4/14/20,"Yolo County, California",positive,102,175
4/14/20,"Yuba County, California",positive,15,176
4/14/20,Unknown,positive,0,177
4/14/20,"Alameda County, California",death,23,178
4/14/20,"Alpine County, California",death,0,179
4/14/20,"Amador County, California",death,0,180
4/14/20,"Butte County, California",death,0,181
4/14/20,"Calaveras County, California",death,0,182
4/14/20,"Colusa County, California",death,0,183
4/14/20,"Contra Costa County, California",death,11,184
4/14/20,"Del Norte County, California",death,0,185
4/14/20,"El Dorado County, California",death,0,186
4/14/20,"Fresno County, California",death,5,187
4/14/20,"Glenn County, California",death,0,188
4/14/20,"Humboldt County, California",death,0,189
4/14/20,"Imperial County, California",death,3,190
4/14/20,"Inyo County, California",death,0,191
4/14/20,"Kern County, California",death,3,192
4/14/20,"Kings County, California",death,1,193
4/14/20,"Lake County, California",death,0,194
4/14/20,"Lassen County, California",death,0,195
4/14/20,"Los Angeles County, California",death,360,196
4/14/20,"Madera County, California",death,2,197
4/14/20,"Marin County, California",death,10,198
4/14/20,"Mariposa County, California",death,0,199
4/14/20,"Mendocino County, California",death,0,200
4/14/20,"Merced County, California",death,3,201
4/14/20,"Modoc County, California",death,0,202
4/14/20,"Mono County, California",death,1,203
4/14/20,"Monterey County, California",death,3,204
4/14/20,"Napa County, California",death,2,205
4/14/20,"Nevada County, California",death,1,206
4/14/20,"Orange County, California",death,19,207
4/14/20,"Placer County, California",death,5,208
4/14/20,"Plumas County, California",death,0,209
4/14/20,"Riverside County, California",death,50,210
4/14/20,"Sacramento County, California",death,28,211
4/14/20,"San Benito County, California",death,2,212
4/14/20,"San Bernardino County, California",death,31,213
4/14/20,"San Diego County, California",death,47,214
4/14/20,"San Francisco County, California",death,15,215
4/14/20,"San Joaquin County, California",death,17,216
4/14/20,"San Luis Obispo County, California",death,1,217
4/14/20,"San Mateo County, California",death,21,218
4/14/20,"Santa Barbara County, California",death,2,219
4/14/20,"Santa Clara County, California",death,60,220
4/14/20,"Santa Cruz County, California",death,1,221
4/14/20,"Shasta County, California",death,3,222
4/14/20,"Sierra County, California",death,0,223
4/14/20,"Siskiyou County, California",death,0,224
4/14/20,"Solano County, California",death,2,225
4/14/20,"Sonoma County, California",death,2,226
4/14/20,"Stanislaus County, California",death,4,227
4/14/20,"Sutter County, California",death,3,228
4/14/20,"Tehama County, California",death,1,229
4/14/20,"Trinity County, California",death,0,230
4/14/20,"Tulare County, California",death,13,231
4/14/20,"Tuolumne County, California",death,0,232
4/14/20,"Ventura County, California",death,13,233
4/14/20,"Yolo County, California",death,4,234
4/14/20,"Yuba County, California",death,1,235
4/14/20,Unknown,death,0,236
